domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on
spintitans.com,spintitans,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spintitans.com,not contacted,
stelario.com,stelario,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,stelario.com,not contacted,
trinocasino.com,trinocasino,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,trinocasino.com,not contacted,
winbandits.com,winbandits,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,winbandits.com,not contacted,
windetta.com,windetta,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,windetta.com,not contacted,
winlegends.com,winlegends,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,winlegends.com,not contacted,
apolobet.com,apolobet,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,apolobet.com apolobet.fun,not contacted,
azar365.com,azar,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,azar365.com azar777.com,not contacted,
betjuve.com,betjuve,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,betjuve.com betjuve50.com,not contacted,
neredebahis.com,neredebahis,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,neredebahis.com neredebahis98.com,not contacted,
tricobet.io,tricobet,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,tricobet.io tricobet.com,not contacted,
1x2bet.co,xbet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,1x2bet.co,not contacted,
8bet.co.sz,co,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,8bet.co.sz,not contacted,
apuestalos.com,apuestalos,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,apuestalos.com,not contacted,
apuestaswin.com,apuestaswin,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,apuestaswin.com,not contacted,
astrobet.ec,astrobet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,astrobet.ec,not contacted,
azarlatino.com,azarlatino,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,azarlatino.com,not contacted,
bet593.online,bet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,bet593.online,not contacted,
betplatino.co,betplatino,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,betplatino.co,not contacted,
betpro.hn,betpro,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,betpro.hn,not contacted,
betwin360.com,betwin,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,betwin360.com,not contacted,
brmegas.com,brmegas,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,brmegas.com,not contacted,
bwise365.com,bwise,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,bwise365.com,not contacted,
casinoencasa.com,casinoencasa,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,casinoencasa.com,not contacted,
casinolivesgames.net,casinolivesgames,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,casinolivesgames.net,not contacted,
casipot.com,casipot,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,casipot.com,not contacted,
cripto365.com,cripto,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,cripto365.com,not contacted,
databet.ec,databet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,databet.ec,not contacted,
elbochincheapuestas.bet,elbochincheapuestas,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,elbochincheapuestas.bet,not contacted,
extrabet.games,extrabet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,extrabet.games,not contacted,
festwin.com,festwin,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,festwin.com,not contacted,
fixplay.pe,fixplay,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,fixplay.pe,not contacted,
galeribet.com,galeribet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,galeribet.com,not contacted,
gloobet.com,gloobet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,gloobet.com,not contacted,
golbet170.com,golbet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,golbet170.com,not contacted,
golbetting.com,golbetting,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,golbetting.com,not contacted,
granposeidon.com,granposeidon,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,granposeidon.com,not contacted,
honduwin.com,honduwin,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,honduwin.com,not contacted,
italtroniciinternational.com,italtroniciinternational,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,italtroniciinternational.com,not contacted,
juegaconelking.com,juegaconelking,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,juegaconelking.com,not contacted,
juegaenlinea.net,juegaenlinea,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,juegaenlinea.net,not contacted,
juegaenlineachile.com,juegaenlineachile,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,juegaenlineachile.com,not contacted,
jugaconvani.net,jugaconvani,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,jugaconvani.net,not contacted,
kongocash.com,kongocash,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,kongocash.com,not contacted,
levelquartz.net,levelquartz,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,levelquartz.net,not contacted,
leverabet.com,leverabet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,leverabet.com,not contacted,
listobet.com,listobet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,listobet.com,not contacted,
lotbet.vip,lotbet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,lotbet.vip,not contacted,
loterianacional.ec,loterianacional,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,loterianacional.ec,not contacted,
mansabet.casino,mansabet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,mansabet.casino,not contacted,
mas1x2.com,masx,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,mas1x2.com,not contacted,
masterbets365.com,masterbets,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,masterbets365.com,not contacted,
petra.bet,petra,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,petra.bet,not contacted,
playred.com,playred,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,playred.com,not contacted,
quartzplay.com,quartzplay,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,quartzplay.com,not contacted,
slotrix.net,slotrix,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,slotrix.net,not contacted,
stockpokeronline.com,stockpokeronline,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,stockpokeronline.com,not contacted,
templobet.com,templobet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,templobet.com,not contacted,
triplecorona.net,triplecorona,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,triplecorona.net,not contacted,
winss.bet,winss,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,winss.bet,not contacted,
yinyangbet.com,yinyangbet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,yinyangbet.com,not contacted,
roxcasino.com,roxcasino,2,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,roxcasino.com roxcasino1000.bet roxcasino1010.bet,not contacted,
freshcasino100.bet,freshcasino,1,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,freshcasino100.bet freshcasino1010.bet,not contacted,
lux-casino.club,luxcasino,1,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,lux-casino.club luxcasino100.bet,not contacted,
solcasino1000.bet,solcasino,1,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,solcasino1000.bet solcasino1010.bet,not contacted,
1go.casino,go,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,1go.casino,not contacted,
1gocasino.com,gocasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,1gocasino.com,not contacted,
beef.casino,beef,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,beef.casino,not contacted,
beefcasino.com,beefcasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,beefcasino.com,not contacted,
casinoflagman.com,casinoflagman,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,casinoflagman.com,not contacted,
casinoiris.com,casinoiris,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,casinoiris.com,not contacted,
casinomartin.com,casinomartin,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,casinomartin.com,not contacted,
drip.casino,drip,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,drip.casino,not contacted,
dripcasino.com,dripcasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,dripcasino.com,not contacted,
flagman.casino,flagman,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,flagman.casino,not contacted,
flagmancasino.com,flagmancasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,flagmancasino.com,not contacted,
fresh.casino,fresh,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,fresh.casino,not contacted,
freshkz.com,freshkz,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,freshkz.com,not contacted,
freshvip.casino,freshvip,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,freshvip.casino,not contacted,
fugu.casino,fugu,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,fugu.casino,not contacted,
fugucasino.com,fugucasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,fugucasino.com,not contacted,
gizbo.casino,gizbo,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,gizbo.casino,not contacted,
gizbocasino.com,gizbocasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,gizbocasino.com,not contacted,
iris.casino,iris,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,iris.casino,not contacted,
iriscasino.com,iriscasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,iriscasino.com,not contacted,
irwin.casino,irwin,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,irwin.casino,not contacted,
irwincasino.com,irwincasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,irwincasino.com,not contacted,
jet.casino,jet,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,jet.casino,not contacted,
jetcasino1010.bet,jetcasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,jetcasino1010.bet,not contacted,
jetkasino.com,jetkasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,jetkasino.com,not contacted,
jetvip.casino,jetvip,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,jetvip.casino,not contacted,
legzo.casino,legzo,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,legzo.casino,not contacted,
legzocasino.com,legzocasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,legzocasino.com,not contacted,
lex.casino,lex,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,lex.casino,not contacted,
martin-casino.com,martincasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,martin-casino.com,not contacted,
martin.casino,martin,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,martin.casino,not contacted,
monro.casino,monro,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,monro.casino,not contacted,
patang.casino,patang,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,patang.casino,not contacted,
patangcasino.com,patangcasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,patangcasino.com,not contacted,
roxcasinocom.com,roxcasinocom,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,roxcasinocom.com,not contacted,
roxcasinovip.com,roxcasinovip,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,roxcasinovip.com,not contacted,
roxkzcasino.com,roxkzcasino,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,roxkzcasino.com,not contacted,
sol.casino,sol,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,sol.casino,not contacted,
solkazinokz.com,solkazinokz,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,solkazinokz.com,not contacted,
solkz.com,solkz,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,solkz.com,not contacted,
solvip.casino,solvip,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,solvip.casino,not contacted,
starda.casino,starda,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,starda.casino,not contacted,
stardacasinoua.com,stardacasinoua,0,Galaktika N.V.,OGL/2024/169/0146,Curacao,assessment in progress,"December 24, 2025",no,stardacasinoua.com,not contacted,
paraparabeta.cyou,paraparabeta,2,Verse Corp B.V.,OGL/2024/1641/1039,Curacao,active,"June 4, 2026",no,paraparabeta.cyou paraparabeta.shop paraparabeta.space,not contacted,
